State,x,y
andhra pradesh,-77.0,-189.0
arunachal pradesh,296.0,184.0
assam,255.0,127.0
bihar,89.0,96.0
chhattisgarh,-8.0,-24.0
goa,-208.0,-192.0
gujarat,-261.0,21.0
haryana,-143.0,195.0
himachal pradesh,-121.0,276.0
jharkhand,75.0,35.0
karnataka,-165.0,-210.0
kerala,-148.0,-328.0
madhya pradesh,-105.0,25.0
maharashtra,-181.0,-84.0
manipur,295.0,85.0
meghalaya,226.0,102.0
mizoram,275.0,45.0
nagaland,313.0,121.0
odisha,54.0,-50.0
punjab,-158.0,240.0
rajasthan,-212.0,119.0
sikkim,162.0,156.0
tamil nadu,-101.0,-313.0
telangana,-90.0,-119.0
tripura,247.0,53.0
uttar pradesh,-43.0,125.0
uttarakhand,-77.0,220.0
west bengal,146.0,26.0
andaman and nicobar islands,253.0,-268.0
chandigarh,-169.0,243.0
delhi,-122.0,175.0
puducherry,-55.0,-288.0
lakshadweep,-301.0,-252.0
jammu and kashmir,-148.0,336.0